geneSet	eventType	regionType	geneSetGeneNumber	sReal.Cu	sReal.Su	sReal.Nu	sReal.Ca	sReal.Sa	sReal.Na	sReal.RSa	sReal.ESa	sReal.delta	sReal.AD	bcAD.left95	bcAD.right95	esAD.pvOne	esAD.z	esAD.pvOneAn	sReal.PC	bcPC.left95	bcPC.right95
autism missense	sub	inter-coding_intronic	3560	1874	11691	58274	1869	11732	59340	6.27715355805	11904.8622027	-172.86220269760088	-9.248914002011817	-26.95347087902657	9.181507810783996	0.852	-1.029637993537901	0.848410013471421	-1.4734248439959161	-4.349652590886352	1.4622803353435754
autism missense	sub	peripheral	3560	1874	1696	58274	1869	1767	59340	0.945425361156	1727.02474517	39.97525483062759	2.138857936363167	-4.740392103935647	8.515190359507935	0.243	0.6787963923050936	0.2486334400012351	2.262323419956287	-5.144391501187944	8.607621081503401
autism synonymous	indel	inter-coding_intronic	1570	1874	561	5859	1869	569	5768	0.304440877475	552.286738351	16.713261648745515	0.8942355082260843	-2.888174459264529	4.898057560568133	0.303	0.5264112910409947	0.2993012361674599	2.9373043319412155	-9.984803540552962	15.341929165986615
autism synonymous	indel	peripheral	1570	1874	100	5859	1869	99	5768	0.0529695024077	98.4468339307	0.5531660692951021	0.02959690044382569	-1.4948991161822143	1.4760975094976783	0.475	0.05138080452964011	0.47951104016666024	0.558753605348588	-32.9141663045187	24.536815636425345
autism synonymous	sub	inter-coding_intronic	1570	1874	5647	58274	1869	5808	59340	3.10754414125	5750.29996225	57.7000377526856	3.0872144329954843	-9.007499566112545	15.806767029053388	0.305	0.5219612281120497	0.3008486630697159	0.9934579502872866	-2.9367276668518363	4.972943306698247
autism synonymous	sub	peripheral	1570	1874	882	58274	1869	897	59340	0.479935794543	898.134330919	-1.1343309194495532	-0.060691862998906006	-4.780603792298012	5.071053951748987	0.5	-0.003929742355443147	0.5015677363416101	-0.12645829648267037	-10.276940651503969	10.166662912536271
all NDD LGD	indel	inter-coding_intronic	1521	1874	560	5859	1869	645	5768	0.345104333868	551.302270012	93.69772998805252	5.0132546810086955	1.1689310897456437	8.686127566856765	0.008	2.510027931345793	0.0060360806199979715	14.526779843108919	3.6118959362651184	23.8450340437191
all NDD LGD	indel	peripheral	1521	1874	120	5859	1869	122	5768	0.0652755484216	118.136200717	3.8637992831541226	0.20673083376961598	-1.4060618264475933	1.839063149373922	0.401	0.22683578658465894	0.4102757176308903	3.1670485927492806	-25.18340669601175	24.731960207370033
all NDD LGD	sub	inter-coding_intronic	1521	1874	5838	58274	1869	5867	59340	3.13911182451	5944.79390466	-77.7939046573083	-4.162327697020241	-16.60248285191711	7.290148227310631	0.741	-0.6579166284459715	0.7447041474931143	-1.3259571272764326	-5.37161627914191	2.2870566382309585
all NDD LGD	sub	peripheral	1521	1874	967	58274	1869	945	59340	0.505617977528	984.689226756	-39.689226756357925	-2.1235541335665022	-6.901550144761817	2.640448206497664	0.822	-0.920913538449665	0.8214522151568235	-4.199918175275971	-14.564098590685274	4.978236341894806
all NDD missense	indel	inter-coding_intronic	6638	1874	2017	5859	1869	2057	5768	1.10058855003	1985.67264038	71.32735961768208	3.8163381282868953	-4.140288442275178	11.137404046057892	0.166	0.9590749408083749	0.16876049673853116	3.467543005234909	-3.845359772388338	9.95721699011749
all NDD missense	indel	peripheral	6638	1874	370	5859	1869	367	5768	0.196361690744	364.253285544	2.746714456391885	0.1469617151627547	-2.643323224209195	3.3417461966283635	0.46	0.08442976188023829	0.4663573725998831	0.7484235575999687	-14.424925955468172	15.534013077622896
all NDD missense	sub	inter-coding_intronic	6638	1874	20421	58274	1869	20095	59340	10.7517388978	20794.5591516	-699.5591515941924	-37.429596125959996	-63.742380689512586	-12.834465549649106	0.996	-2.9111520984065384	0.9981995066103327	-3.4812597740442515	-5.997695282298932	-1.1805959274673523
all NDD missense	sub	peripheral	6638	1874	3117	58274	1869	3221	59340	1.72338148743	3174.01894498	46.9810550159591	2.5137001078629804	-6.895252328953747	11.851135681091508	0.307	0.5419871412404432	0.2939136820939026	1.4585859986326948	-4.055666054511158	6.698006666535955
all NDD synonymous	indel	inter-coding_intronic	3230	1874	1065	5859	1869	1058	5768	0.56607811664	1048.45878136	9.54121863799287	0.5104985895127271	-4.552672602123154	5.861504475721734	0.435	0.1978200621690414	0.42159292450317576	0.9018165064265472	-8.215446027060764	9.922171437923016
all NDD synonymous	indel	peripheral	3230	1874	188	5859	1869	189	5768	0.101123595506	185.08004779	3.919952210274772	0.20973527074771386	-1.7849690650328638	2.218546461279103	0.422	0.18157294975265553	0.4279589394532166	2.0740487885051704	-20.879797542359125	19.793080069208113
all NDD synonymous	sub	inter-coding_intronic	3230	1874	10682	58274	1869	10665	59340	5.7062600321	10877.4046745	-212.4046744688876	-11.364616076451986	-29.319230554005387	7.086180859224377	0.898	-1.2978691524548605	0.9028338491146255	-1.991605011428857	-5.185180957411953	1.2359772981054384
all NDD synonymous	sub	peripheral	3230	1874	1694	58274	1869	1736	59340	0.928838951311	1724.98815938	11.011840615025449	0.5891835535059095	-5.655443459265044	7.60684507584392	0.441	0.146397612158256	0.44180375611231876	0.6343226160728945	-6.305189601126678	7.903639749036277
