section	effect	variant	group	backgroundGroup	sReal.U	sReal.Nu	sReal.Xu	sReal.A	sReal.Na	sReal.Xa	sReal.RaR	sReal.ENa	sReal.delta	sReal.AD	bcAD.left95	bcAD.right95	esAD.pvOne	esAD.z	esAD.pvOneAn	sReal.IR	bcIR.left95	bcIR.right95
ALL EVENTS	coding	deletion	AGRE affected	SSC unaffected	1874	22	1874	1107	16	1107	0.0144534778681	12.9957310566	3.0042689434365	0.27138834177384824	-0.6045630964994984	1.0976485666535802	0.3	0.6700060593649879	0.2514269637545733	18.7766808965	-66.02397081813446	56.827618022451176
ALL EVENTS	coding	deletion	SSC affected	AGRE affected	1107	16	1107	1869	64	1869	0.0342429106474	27.0135501355	36.986449864498645	1.9789432779293015	0.8362468109231788	3.174977015127786	0.0	3.1963440607292415	0.0006959051841600066	57.7913279133	29.87103825136613	78.71449193174202
ALL EVENTS	coding	duplication	SSC affected	SSC unaffected	1874	22	1874	1869	42	1869	0.0224719101124	21.9413020277	20.058697972251867	1.0732315661986018	0.254029172234977	1.879604564301134	0.006	2.5014473811117024	0.006184341048553482	47.7588046958	14.594544442382636	69.50580354860152
ALL EVENTS	coding	duplication	AGRE affected	SSC unaffected	1874	22	1874	1107	18	1107	0.0162601626016	12.9957310566	5.0042689434365	0.4520568151252484	-0.37883971543171924	1.3089387448788594	0.192	1.0089289459701751	0.15650435596612572	27.8014941302	-34.886069812540406	60.8125630312635
ALL EVENTS	coding	duplication	SSC affected	AGRE affected	1107	18	1107	1869	42	1869	0.0224719101124	30.3902439024	11.609756097560972	0.6211747510733532	-0.37320081327999316	1.6391631851514434	0.162	1.1615070938245606	0.12271787000830758	27.6422764228	-19.510204081632647	61.85864113087096
ALL EVENTS	coding	cnvs	SSC affected	SSC unaffected	1874	44	1874	1869	106	1869	0.0567148207598	43.8826040555	62.117395944503734	3.3235631859017514	2.035816156672843	4.6345147373320055	0.0	4.949369243924059	3.722718873474953e-07	58.6013169288	40.90111308640857	71.03544912277289
ALL EVENTS	coding	cnvs	AGRE affected	SSC unaffected	1874	44	1874	1107	34	1107	0.0307136404697	25.9914621131	8.008537886873	0.7234451568990967	-0.5209099752134186	2.060971173044806	0.14	1.195660706722452	0.1159144954746878	23.5545231967	-21.260604385161646	52.06908478282699
ALL EVENTS	coding	cnvs	SSC affected	AGRE affected	1107	34	1107	1869	106	1869	0.0567148207598	57.4037940379	48.59620596205962	2.600118029002655	0.9955697458670909	4.307999117920594	0.0	3.18926285958461	0.0007131805670475002	45.8454773227	20.049127247013292	65.18497025968374
ALL EVENTS	intergenic	deletion	SSC affected	SSC unaffected	1874	20	1874	1869	23	1869	0.0123060460139	19.946638207	3.0533617929562418	0.16336874226625156	-0.5143438339845559	0.8858922571805989	0.386	0.45588644710193865	0.32423581792530665	13.2754860563	-61.99485730611726	56.117395944503734
ALL EVENTS	intergenic	deletion	AGRE affected	SSC unaffected	1874	20	1874	1107	14	1107	0.0126467931346	11.8143009605	2.1856990394877265	0.19744345433493465	-0.5716103364619978	1.0532171387641835	0.392	0.44770135048412485	0.32718437344653617	15.6121359963	-77.28049421661409	58.01827801827802
ALL EVENTS	intergenic	deletion	SSC affected	AGRE affected	1107	14	1107	1869	23	1869	0.0123060460139	23.6368563686	-0.6368563685636879	-0.03407471206868314	-0.8328201970443349	0.8364573536980537	0.587	-0.02300665135199735	0.5091775163285391	-2.76894073289	-93.5329067641682	53.761423470314114
ALL EVENTS	intergenic	duplication	SSC affected	SSC unaffected	1874	6	1874	1869	11	1869	0.00588550026752	5.98399146211	5.016008537886873	0.26837926901481396	-0.12270948016425241	0.7109753317951528	0.165	1.239241666007186	0.10762800724671956	45.6000776172	-38.88238424693986	87.37244897959184
ALL EVENTS	intergenic	duplication	AGRE affected	SSC unaffected	1874	6	1874	1107	1	1107	0.000903342366757	3.54429028815	-2.544290288153682	-0.2298365210617599	-0.5500072787992198	0.10052248815321742	0.962	-1.2636023053596992	0.8968135971334696	-254.429028815	-475.5813953488372	100.0
ALL EVENTS	intergenic	duplication	SSC affected	AGRE affected	1107	1	1107	1869	11	1869	0.00588550026752	1.68834688347	9.311653116531165	0.49821579007657385	0.13194697917540946	0.9144441674975075	0.036	2.0278899196183438	0.02128574209328276	84.6513919685	41.22562674094708	100.00000000000001
ALL EVENTS	intergenic	cnvs	SSC affected	SSC unaffected	1874	26	1874	1869	34	1869	0.0181915462814	25.9306296692	8.069370330843118	0.4317480112810657	-0.33502990420372564	1.232230059685296	0.18	1.0248794220494668	0.15271004266773153	23.7334421495	-24.93684660526214	55.562062604316125
ALL EVENTS	intergenic	cnvs	AGRE affected	SSC unaffected	1874	26	1874	1107	15	1107	0.0135501355014	15.3585912487	-0.35859124866595415	-0.032393066726825126	-0.9286022003298409	0.830197203677803	0.566	-0.05290099438860058	0.5210946039499972	-2.39060832444	-122.33820459290187	43.68080744362088
ALL EVENTS	intergenic	cnvs	SSC affected	AGRE affected	1107	15	1107	1869	34	1869	0.0181915462814	25.325203252	8.674796747967477	0.46414107800789073	-0.5502001969621818	1.400236735509558	0.21	0.9653434132788681	0.16718641702121811	25.5141080823	-36.02069239952248	63.97683397683397
ALL EVENTS	genic noncoding	deletion	SSC affected	SSC unaffected	1874	13	1874	1869	15	1869	0.00802568218299	12.9653148346	2.0346851654215588	0.10886490986739211	-0.4374769440913488	0.6758593591158202	0.408	0.4675823695272072	0.32004163762883553	13.5645677695	-88.8865210442195	63.202593192868726
ALL EVENTS	genic noncoding	deletion	AGRE affected	SSC unaffected	1874	13	1874	1107	6	1107	0.00542005420054	7.67929562433	-1.679295624332977	-0.15169788837696271	-0.6725297465080186	0.39585074999759773	0.771	-0.49666801483286405	0.690288409289481	-27.9882604055	-341.7643923240938	48.54048964218455
ALL EVENTS	genic noncoding	deletion	SSC affected	AGRE affected	1107	6	1107	1869	15	1869	0.00802568218299	10.1300813008	4.869918699186991	0.2605627982443548	-0.3812444473192086	0.8171151552585932	0.266	0.8625751563244937	0.19418554731234544	32.4661246612	-69.63601532567051	83.49955476402492
ALL EVENTS	genic noncoding	duplication	SSC affected	SSC unaffected	1874	3	1874	1869	2	1869	0.00107009095773	2.99199573106	-0.9919957310565635	-0.05307628309558927	-0.3105590062111801	0.16324528310506978	0.807	-0.45072359154001024	0.6739056114814712	-49.5997865528	-414.3631436314363	100.0
ALL EVENTS	genic noncoding	duplication	AGRE affected	SSC unaffected	1874	3	1874	1107	1	1107	0.000903342366757	1.77214514408	-0.772145144076841	-0.0697511421930299	-0.31678986272439286	0.21709517313665197	0.829	-0.46212296835289157	0.678003430000026	-77.2145144077	-239.8843930635838	100.0
ALL EVENTS	genic noncoding	duplication	SSC affected	AGRE affected	1107	1	1107	1869	2	1869	0.00107009095773	1.68834688347	0.31165311653116534	0.01667485909744063	-0.2505173361175014	0.22841413665275817	0.685	0.13519755242131226	0.44622784110627506	15.5826558266	-363.07692307692315	100.0
ALL EVENTS	genic noncoding	cnvs	SSC affected	SSC unaffected	1874	16	1874	1869	17	1869	0.00909577314072	15.9573105656	1.042689434364993	0.055788626771802734	-0.5580057548270068	0.6987294789436117	0.476	0.21836227936379993	0.4135734265395001	6.13346726097	-92.896047307812	57.34846177276881
ALL EVENTS	genic noncoding	cnvs	AGRE affected	SSC unaffected	1874	16	1874	1107	7	1107	0.0063233965673	9.45144076841	-2.451440768409819	-0.22144903056999268	-0.8043848290754282	0.4349551782222309	0.792	-0.6560678501230027	0.7441097654287567	-35.0205824059	-316.34877384196176	43.2967032967033
ALL EVENTS	genic noncoding	cnvs	SSC affected	AGRE affected	1107	7	1107	1869	17	1869	0.00909577314072	11.8184281843	5.181571815718156	0.2772376573417954	-0.3763440860215054	0.8818354324602407	0.281	0.8046187548740952	0.2105198579983245	30.4798342101	-55.86448598130841	79.27324749642347
ONE CODING GENE	all	deletion	SSC affected	SSC unaffected	1874	37	1874	1869	60	1869	0.0321027287319	36.901280683	23.098719316969046	1.2358865338132181	0.12677274842747524	2.3051209619626634	0.014	2.200634540027759	0.013880953170449482	38.4978655283	5.3103695730175735	60.07556892854673
ONE CODING GENE	all	deletion	AGRE affected	SSC unaffected	1874	37	1874	1107	19	1107	0.0171635049684	21.8564567769	-2.856456776947706	-0.2580358425427015	-1.1850572605620893	0.723559999578099	0.73	-0.4962794474386718	0.6901513676240549	-15.0339830366	-104.34546442151007	31.771976558337773
ONE CODING GENE	all	deletion	SSC affected	AGRE affected	1107	19	1107	1869	60	1869	0.0321027287319	32.0785907859	27.921409214092144	1.49392237635592	0.4090090915005436	2.590851815490225	0.009	2.498308363326306	0.006239379615502262	46.5356820235	15.186149623478068	70.55220688314213
ONE CODING GENE	all	duplication	SSC affected	SSC unaffected	1874	16	1874	1869	15	1869	0.00802568218299	15.9573105656	-0.9573105656350069	-0.05122046900133798	-0.6291888543688655	0.5570156143768819	0.639	-0.1589130197718863	0.5631312986228308	-6.38207043757	-134.29686547139897	47.81460317460317
ONE CODING GENE	all	duplication	AGRE affected	SSC unaffected	1874	16	1874	1107	7	1107	0.0063233965673	9.45144076841	-2.451440768409819	-0.22144903056999268	-0.8208473725715105	0.41033525592025516	0.827	-0.7351581330243836	0.768878403243468	-35.0205824059	-291.37029288702934	41.18273841236015
ONE CODING GENE	all	duplication	SSC affected	AGRE affected	1107	7	1107	1869	15	1869	0.00802568218299	11.8184281843	3.181571815718156	0.17022856156865468	-0.47493439196816406	0.7668184977273639	0.357	0.5927211486504271	0.27668389277096817	21.2104787715	-93.61036639857015	76.39419404125287
ONE CODING GENE	all	cnvs	SSC affected	SSC unaffected	1874	53	1874	1869	75	1869	0.0401284109149	52.8585912487	22.141408751334048	1.1846660648118805	-0.02709516426978661	2.3449063921934106	0.033	1.9230969379992842	0.02723393841594019	29.5218783351	-0.6970509383377966	50.86436536659747
ONE CODING GENE	all	cnvs	AGRE affected	SSC unaffected	1874	53	1874	1107	26	1107	0.0234869015357	31.3078975454	-5.307897545357523	-0.47948487311269405	-1.6448860340263052	0.6495132760049469	0.809	-0.7702411594157037	0.7794215736338961	-20.4149905591	-100.76544559868782	21.470092217158847
ONE CODING GENE	all	cnvs	SSC affected	AGRE affected	1107	26	1107	1869	75	1869	0.0401284109149	43.8970189702	31.102981029810294	1.6641509379245742	0.4008438818565398	2.945801929816139	0.01	2.4690893469293367	0.006772869623156685	41.4706413731	12.400583837240484	64.96392496392497
ONE CODING GENE	coding	deletion	SSC affected	SSC unaffected	1874	19	1874	1869	32	1869	0.0171214553237	18.9493062967	13.050693703308433	0.6982714662016283	0.03926601396556465	1.4469068718226321	0.04	1.8245281676294285	0.03403613096571905	40.7834178228	2.8962611901000574	69.61396504097124
ONE CODING GENE	coding	deletion	AGRE affected	SSC unaffected	1874	19	1874	1107	8	1107	0.00722673893406	11.2235859125	-3.2235859124866586	-0.29120017276302246	-0.9644693817878828	0.41107121221097453	0.851	-0.8296885569274389	0.796642553554798	-40.2948239061	-280.984126984127	36.77760169043846
ONE CODING GENE	coding	deletion	SSC affected	AGRE affected	1107	8	1107	1869	32	1869	0.0171214553237	13.5067750678	18.493224932249323	0.9894716389646507	0.305810995891215	1.7523400442530837	0.013	2.273916273416976	0.011485510532415	57.7913279133	21.244281793229643	84.82094848908486
ONE CODING GENE	coding	duplication	SSC affected	SSC unaffected	1874	12	1874	1869	9	1869	0.00481540930979	11.9679829242	-2.967982924226254	-0.1588005844957867	-0.6633804723961396	0.3223120816923653	0.782	-0.5926223372986948	0.7232830366491011	-32.977588047	-290.91598915989164	44.35531788472966
ONE CODING GENE	coding	duplication	AGRE affected	SSC unaffected	1874	12	1874	1107	4	1107	0.00361336946703	7.08858057631	-3.088580576307364	-0.2790045687721196	-0.760772662602902	0.28430140070206844	0.89	-1.008351719143572	0.8433571788229017	-77.2145144077	-724.6268656716417	55.467362924281986
ONE CODING GENE	coding	duplication	SSC affected	AGRE affected	1107	4	1107	1869	9	1869	0.00481540930979	6.75338753388	2.2466124661246614	0.12020398427633287	-0.3757510121428465	0.6011510908593609	0.456	0.46664978584380984	0.3203752306037485	24.9623607347	-133.73419673142155	88.80888088808881
ONE CODING GENE	coding	cnvs	SSC affected	SSC unaffected	1874	31	1874	1869	41	1869	0.0219368646335	30.9172892209	10.082710779082177	0.5394708817058415	-0.2787003049194971	1.4188449146802897	0.128	1.1927997105280186	0.11647391175272614	24.59197751	-16.43468950749463	53.739891013848876
ONE CODING GENE	coding	cnvs	AGRE affected	SSC unaffected	1874	31	1874	1107	12	1107	0.0108401084011	18.3121664888	-6.312166488794023	-0.5702047415351421	-1.4078302413600547	0.3145692849766115	0.921	-1.2400991752194566	0.8925306429930794	-52.6013874066	-217.14745308310992	18.676302776721197
ONE CODING GENE	coding	cnvs	SSC affected	AGRE affected	1107	12	1107	1869	41	1869	0.0219368646335	20.2601626016	20.739837398373982	1.1096756232409837	0.12934140348541548	2.043010752688172	0.019	2.1574159743272463	0.015486633831412073	50.5849692643	8.118328758767916	76.66405062049344
ONE CODING GENE	intercoding intronic	deletion	SSC affected	SSC unaffected	1874	9	1874	1869	22	1869	0.011771000535	8.97598719317	13.024012806830308	0.6968439168983578	0.12779937753849552	1.2593673604606	0.013	2.377398454334868	0.008717621414103694	59.2000582129	16.863591916558015	85.38223938223938
ONE CODING GENE	intercoding intronic	deletion	AGRE affected	SSC unaffected	1874	9	1874	1107	8	1107	0.00722673893406	5.31643543223	2.6835645677694773	0.24241775679941077	-0.3154699226207653	0.8594937096447013	0.267	0.8736350133252266	0.19115852603727634	33.5445570971	-100.32223415682063	76.01390983743926
ONE CODING GENE	intercoding intronic	deletion	SSC affected	AGRE affected	1107	8	1107	1869	22	1869	0.011771000535	13.5067750678	8.493224932249323	0.45442616009894715	-0.2363243322463635	1.1459064952514735	0.153	1.183425554677123	0.11832026723268191	38.6055678739	-25.137880986937578	79.02097902097901
ONE CODING GENE	intercoding intronic	duplication	SSC affected	SSC unaffected	1874	2	1874	1869	4	1869	0.00214018191546	1.9946638207	2.0053361792956244	0.10729460563379478	-0.1118944644091618	0.3735606750587436	0.333	0.8773922728699632	0.1901368043765948	50.1334044824	-151.74262734584448	100.0
ONE CODING GENE	intercoding intronic	duplication	AGRE affected	SSC unaffected	1874	2	1874	1107	2	1107	0.00180668473351	1.18143009605	0.8185699039487726	0.07394488743891352	-0.20790020790020788	0.373134328358209	0.462	0.5283059722768468	0.2986434935567127	40.9284951974	-126.58959537572252	100.0
ONE CODING GENE	intercoding intronic	duplication	SSC affected	AGRE affected	1107	2	1107	1869	4	1869	0.00214018191546	3.37669376694	0.6233062330623307	0.03334971819488126	-0.310331459585191	0.33279099631890596	0.615	0.1600145393776959	0.43643481051435695	15.5826558266	-381.78633975481614	100.0
ONE CODING GENE	intercoding intronic	cnvs	SSC affected	SSC unaffected	1874	11	1874	1869	26	1869	0.0139111824505	10.9706510139	15.029348986125934	0.8041385225321527	0.22350247914157687	1.46795864998518	0.009	2.468967075391654	0.006775184266486371	57.8051884082	20.721151547032665	82.25016799462416
ONE CODING GENE	intercoding intronic	cnvs	AGRE affected	SSC unaffected	1874	11	1874	1107	10	1107	0.00903342366757	6.49786552828	3.50213447171825	0.31636264423832433	-0.35459492518167274	1.0130948987486836	0.204	1.0453172467289547	0.14793818458689628	35.0213447172	-69.80466630493761	73.93268201284796
ONE CODING GENE	intercoding intronic	cnvs	SSC affected	AGRE affected	1107	10	1107	1869	26	1869	0.0139111824505	16.8834688347	9.116531165311653	0.48777587829382835	-0.30098966289833917	1.2406139047912759	0.135	1.2521552632173367	0.10525664691104808	35.063581405	-27.030520646319584	73.34788937409026
ONE CODING GENE	peripheral	deletion	SSC affected	SSC unaffected	1874	4	1874	1869	4	1869	0.00214018191546	3.98932764141	0.010672358591248265	0.0005710197213080934	-0.27642223467779214	0.3220869843282027	0.629	0.06655857249902145	0.4734665634650924	0.266808964781	-326.7255659856433	100.0
ONE CODING GENE	peripheral	deletion	AGRE affected	SSC unaffected	1874	4	1874	1107	1	1107	0.000903342366757	2.3628601921	-1.3628601921024548	-0.12311293514927325	-0.3798155181768856	0.1348832506291054	0.901	-0.7885042990702883	0.7847991075402618	-136.28601921	-314.69017094017096	100.0
ONE CODING GENE	peripheral	deletion	SSC affected	AGRE affected	1107	1	1107	1869	4	1869	0.00214018191546	1.68834688347	2.3116531165311653	0.12368395487058134	-0.16039592239205036	0.4177545691906005	0.399	0.7649894700957394	0.22213890744730241	57.7913279133	-155.44959128065392	100.0
ONE CODING GENE	peripheral	duplication	SSC affected	SSC unaffected	1874	0	1874	1869	1	1869	0.000535045478866	0.0	1.0	0.05350454788657036	0.0	0.16456390565002743	0.525	0.9511897312113418	0.17075403514138454	100.0	100.0	100.0
ONE CODING GENE	peripheral	duplication	AGRE affected	SSC unaffected	1874	0	1874	1107	0	1107	0.0	0.0	0.0	0.0	0.0	0.0	1.0	nan	nan	100.0	100.0	100.0
ONE CODING GENE	peripheral	duplication	SSC affected	AGRE affected	1107	0	1107	1869	1	1869	0.000535045478866	0.0	1.0	0.05350454788657036	0.0	0.16339869281045752	0.63	0.7663560447348134	0.22173223963208077	100.0	100.0	100.0
ONE CODING GENE	peripheral	cnvs	SSC affected	SSC unaffected	1874	4	1874	1869	5	1869	0.00267522739433	3.98932764141	1.0106723585912483	0.05407556760787845	-0.2695417789757412	0.372733761598858	0.494	0.39898384723013586	0.3449525531113663	20.2134471718	-304.94623655913983	100.0
ONE CODING GENE	peripheral	cnvs	AGRE affected	SSC unaffected	1874	4	1874	1107	1	1107	0.000903342366757	2.3628601921	-1.3628601921024548	-0.12311293514927325	-0.38992189993048987	0.17777777777777778	0.893	-0.7520985383562016	0.7740040985594889	-136.28601921	-328.55597620335317	100.0
ONE CODING GENE	peripheral	cnvs	SSC affected	AGRE affected	1107	1	1107	1869	5	1869	0.00267522739433	1.68834688347	3.3116531165311653	0.1771885027571517	-0.11414815965211991	0.47418335089567965	0.263	1.0663649342111294	0.14312935330819	66.2330623306	-74.79224376731301	100.0
#	SSC unaffected: 1874
#	SSC affected: 1869
#	AGRE affected: 1107
